"slug";"name";"family";"subFamily";"categoryId";"acceptedApplications";"possibleApplications";"reviewReasons";"explicitUseSummary";"titleDescriptor";"specLine";"categorySourceGroup";"recordLoaded";"recordUrl"
"ar3iplik-moda-pro";"Ar3İplik Moda Pro";"Ar3Iplik";"arwowear-moda-pro-2";"fr-stretch-fleece";"hivis";"energy | medical | welding";"energy: The product description explicitly states use for oil and gas distribution driver garments and carries certified electric-arc protection (EN 61482), directly matching the energy sector's inclusion of electric-arc protection and high-voltage/energy-distribution work. || medical: No explicit medical or healthcare use stated despite antistatic and chemical protection properties. || welding: Fabric is inherent FR and antistatic, which could theoretically suit welding-adjacent industrial heat exposure, but no explicit welding, foundry or metal-processing use is stated.";"";"60% Modacrylic 38% Cotton 2% Carbon, Inherent Fleece Flame Retardant Antistatic Fabric";"300 g/m², 60% Modacrylic 38% Cotton 2% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant Elasthane and Fleece Workwear Fabrics";"true";"/ariteks/fabrics/ar3iplik-moda-pro/data/fabric-complete-record.json"
"ard3e3";"ArD3E3";"ArD3E3";"ard3e3";"molten-metal";"welding";"energy | hivis | medical | military";"energy: Explicit electric arc flash protection certification (EN 61482) with quantified ATPV rating, beyond generic antistatic, directly supports high-voltage/electric-arc energy sector use. || hivis: Explicit EN ISO 20471 high-visibility certification and hi-vis property tag directly support high-visibility warning clothing application. || medical: Chemical resistance (EN 13034) could relate to protective barrier garments, but no explicit medical/healthcare use is stated. || military: No explicit military, police or uniformed-service use is stated despite multi-hazard protective properties.";"";"54% Viscose Fr 20% Polyamide 6.6 20% Wool 5% p-aramid 1% Carbon, Inherent Flame Retardant Antistatic Molten Metal Splash Fabric";"350 g/m², 54% Viscose Fr 20% Polyamide 6.6 20% Wool 5% p-aramid 1% Carbon, Inherent Flame Retardant";"Inherent Flame Retardant fabrics for molten metal splash protection";"true";"/ariteks/fabrics/ard3e3/data/fabric-complete-record.json"
"arbo";"ArBo";"ArBo";"arbo";"pbo";"firefighting";"energy";"energy: Antistatic property (EN 1149-5) present but no explicit statement of use in electrical utility or high-voltage energy sector context.";"";"58% para Aramid 40% Pbo 2% Carbon fabric, 220 gr/m'2";"220 g/m², 58% p-Aramid 40% Pbo 2% C";"Ultra fire resistant, world's strongest synthetic fabrics from Pbo (polyphenylene benzobisoxazole)";"true";"/ariteks/fabrics/arbo/data/fabric-complete-record.json"
"arbo-dark";"ArBo Dark";"ArBo";"arbo";"pbo";"firefighting | military";"energy";"energy: Antistatic property (EN 1149-5) present, but no explicit statement linking to electrical/energy sector use.";"";"58% para Aramid 40% Pbo 2% Carbon fabric, 220 gr/m'2";"220 g/m², 58% p-Aramid 40% Pbo 2% Carbon, Inherent Flame Retardant, Antistatic, Plain Fabric";"Ultra fire resistant, world's strongest synthetic fabrics from Pbo (polyphenylene benzobisoxazole)";"true";"/ariteks/fabrics/arbo-dark/data/fabric-complete-record.json"
"aramid-d5-180-rb";"Aramid D5 180 Rb";"Aramid";"aramid";"pbo";"firefighting";"energy | welding";"energy: Antistatic (EN 1149) property present, but no explicit electrical utility/energy sector use stated. || welding: EN ISO 11611 and molten-metal property listed, but no explicit welding/foundry use stated in the product text.";"";"46% meta Aramid 50% para Aramid 2% Pbo 2% Carbon ripstop fabric , 180 gr/m'2";"180 g/m², 46% meta Aramid 50% para Aramid 2% Pbo 2% Carbon, Inherent Flame Retardant, Antistatic, Ripstop-twill Fabric Aramid fabric";"Ultra fire resistant, world's strongest synthetic fabrics from Pbo (polyphenylene benzobisoxazole)";"true";"/ariteks/fabrics/aramid-d5-180-rb/data/fabric-complete-record.json"
"arbo-knit";"ArBo Knit";"ArBo";"arbo";"pbo";"firefighting";"energy | military";"energy: Antistatic property (EN 1149-5) is present but no explicit electrical/energy sector use is stated, per exclusion rule. || military: Ultra-high-strength FR fabric could theoretically suit tactical/uniformed use, but no explicit military or police application is stated.";"";"58% para Aramid 40% Pbo 2% Carbon knit fabric, 220 gr/m'2";"250 g/m², 58% p-Aramid 40% Pbo 2% Carbon, Inherent Flame Retardant, Antistatic, Pique Fabric";"Ultra fire resistant, world's strongest synthetic fabrics from Pbo (polyphenylene benzobisoxazole)";"true";"/ariteks/fabrics/arbo-knit/data/fabric-complete-record.json"
"arwowear-t4-emk";"ArWoWear T4 EMK";"ArWoWear";"aremk";"emi";"energy";"architecture-building | medical | military";"architecture-building: Description mentions EMI shielding 'for walls', which could relate to building applications, but there is no explicit statement of an architectural/building system, ceiling, or construction product context. || medical: Description mentions 'anti-stress and pain reducer bandages' as an application, but this is a brief, non-certified mention without further medical context or standards. || military: The product description explicitly states an anti-radar application for military Faraday cages, a direct military use case.";"";"55% Polyester 25% Cotton 20% Stainless Steel Fabric";"200 g/m², 55% Polyester 25% Cotton 20% Stainless Steel, EMI shielding, Conductive 2/1 S Twill Fabric";"Fabrics for Emi shielding, anti-radar, antistress, high voltage protection.";"true";"/ariteks/fabrics/arwowear-t4-emk/data/fabric-complete-record.json"
"arshirt-emk";"ArShirt EMK";"ArShirt";"aremk";"emi";"energy";"architecture-building | medical | military";"architecture-building: Description mentions EMI shielding for walls, which suggests a building-integrated use, but this is not framed as an architectural membrane or formal building system, so evidence is insufficient for a precise match. || medical: Mentions 'baby cloth' and 'pain reducer bandages' and anti-stress use, but these are generic wellness mentions rather than an explicit medical/healthcare application context. || military: The product description explicitly states an anti-radar application for 'military cages', directly linking it to a military use case.";"";"80% Polyester 20% Stainless Steel Knit Fabric";"220 g/m², 80% Polyester 20% Stainless Steel, EMI shielding, pique knit fabric. 80% Polyester 20% Stainless Steel emi shielding pique knit fabric";"Fabrics for Emi shielding, anti-radar, antistress, high voltage protection.";"true";"/ariteks/fabrics/arshirt-emk/data/fabric-complete-record.json"
"arshirt-antiviral";"ArShirt Antiviral";"ArShirt";"armedi-antiviral";"antiviral";"medical";"sport";"sport: T-shirt fabric could be used in athletic wear, but no explicit sport use is stated.";"";"99% Cotton 1% Silver Inherent Antiviral Knit Fabric";"220 g/m², 99% Cotton 1% Silver, Inherent Antiviral, Pique Knit Fabric";"Inherent Antiviral Knit Fabrics (Silver Yarn Integrated)";"true";"/ariteks/fabrics/arshirt-antiviral/data/fabric-complete-record.json"
"arof";"Arof";"Arof";"arof";"tracksuit-mesh";"sport";"military";"military: Explicit statement that the fabric is used for soldiers, indicating direct military use.";"";"Track Suit Fabric";"220 g/m², 100% Polyester, Warp Knit Fabric";"Track Suit and Light Mesh Fabrics";"true";"/ariteks/fabrics/arof/data/fabric-complete-record.json"
"arof-mesh-2-2";"Arof Mesh 2*2";"Arof";"arof";"tracksuit-mesh";"";"transport";"transport: Explicitly stated as a car seat's back cover material, directly supporting vehicle interior/upholstery use.";"";"2*2 Mesh Fabric";"55 g/m², 100% Polyester, 2*2 Mesh Fabric";"Track Suit and Light Mesh Fabrics";"true";"/ariteks/fabrics/arof-mesh-2-2/data/fabric-complete-record.json"
"arsport-x";"ArSport X";"ArSport";"arsport";"t-shirt-interlock";"hivis";"sport";"sport: Family name 'ArSport' and 'Sports knits' descriptor suggest sport positioning, but application is explicitly stated as 'Workwear T-Shirt' rather than athletic sportswear use.";"";"Bird Eye Fabric";"170 g/m², 100% Polyester, Bird Eye Knit Fabric";"Knit Interlock Polyester Fabrics for T-Shirts";"true";"/ariteks/fabrics/arsport-x/data/fabric-complete-record.json"
"armoto";"ArMoto";"ArMoto";"armoto";"heavy-warp-knits";"motorcycle | hivis";"sport";"sport: Mentioned use in sport shoes lamination, but no explicit athletic garment or performance-sport application stated.";"";"Fabric for Shoes and Office Upholstery";"240 g/m², 100% Polyester, Wind Jacket Fabric";"Heavy Warp Knit Fabrics for Shoes and Wind Jackets";"true";"/ariteks/fabrics/armoto/data/fabric-complete-record.json"
"armoto-dura";"ArMoto Dura";"ArMoto";"armoto";"heavy-warp-knits";"military";"motorcycle";"motorcycle: Family/subFamily name is 'ArMoto' and family descriptor references motorcycle apparel fabrics, but no explicit statement ties this specific product to motorcycle riding gear rather than shoes.";"";"Pa 6.6 Fabric for Shoes";"240 g/m², 100% Pa 6.6, Warp Knit Fabric";"Heavy Warp Knit Fabrics for Shoes and Wind Jackets";"true";"/ariteks/fabrics/armoto-dura/data/fabric-complete-record.json"
"arhard-mesh-300";"ArHard Mesh 300";"ArHard";"arhard-mesh";"heavy-mesh";"";"military";"military: Description mentions 'military mesh fabric' and Application field lists 'Military Bag', but no explicit military garment/use is detailed beyond a bag-type application note, and product is titled/positioned as upholstery mesh for office furniture.";"Product is explicitly positioned and described as an upholstery mesh fabric for office furniture/chairs (titleDescriptor 'Upholstery Mesh Fabric', description 'used as upholstery mesh for office furniture', application image label 'Office Chair Fabric'). This is generic furniture upholstery, not vehicle/vessel transport upholstery, and though 'military mesh fabric' and 'Military Bag' are mentioned, there is no explicit tactical, uniform or service-equipment use described, so it does not meet the bar for a precise application match.";"Upholstery Mesh Fabric";"300 g/m², 100% Polyester, Mesh Fabric";"Heavy Mesh Fabrics";"true";"/ariteks/fabrics/arhard-mesh-300/data/fabric-complete-record.json"
"arsport-dry";"ArSport Dry";"ArSport";"arsport2";"functional-interlock";"hivis";"medical | military | sport";"medical: Antibacterial coating is mentioned but no medical or healthcare use is stated, so it does not meet the explicit-use requirement. || military: Explicit stated end use as police uniform fabric, directly matching the uniformed-services/police inclusion criterion. || sport: Explicitly described as a sports knit for team uniforms within the ArSport sportswear family.";"";"Polyester Fast Dry Interlock Knit Fabric";"140 g/m², 100% Polyester Fast Dry, Interlock Knit Fabric";"Functional knit interlock polyester fabrics.";"true";"/ariteks/fabrics/arsport-dry/data/fabric-complete-record.json"
"arsport-el";"ArSport El";"ArSport";"arsport2";"functional-interlock";"hivis";"sport";"sport: Product is explicitly positioned as a sports knit for team uniforms with T-shirt application, directly indicating sport use.";"";"Polyester Elastane Interlock Knit Fabric";"240 g/m², 92% Polyester 8% Elastane Interlock Knit Fabric";"Functional knit interlock polyester fabrics.";"true";"/ariteks/fabrics/arsport-el/data/fabric-complete-record.json"
"argiyim-360-denim";"ArGiyim 360 Denim";"ArGiyim";"argiyim-2";"ripstop-outdoor";"";"military";"military: Workwear-style durable denim could theoretically be used for uniformed services, but no military/police/tactical use is stated.";"Product is a generic denim workwear fabric (50% PES/50% CO twill, 360 g/m²) explicitly intended for pants/trousers used in work conditions; no explicit military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architectural or transport application is stated in the supplied data.";"50% Polyester 50% Cotton Denim Fabric";"360 g/m², 50% Polyester 50% Cotton, Denim Woven Fabric";"Ripstop, elasthane and denim fabrics for outdoor wear.";"true";"/ariteks/fabrics/argiyim-360-denim/data/fabric-complete-record.json"
"argiyim-l";"ArGiyim L";"ArGiyim";"argiyim-2";"ripstop-outdoor";"medical";"sport";"sport: Stretch comfort property could suggest athletic wear, but no explicit sport use is stated.";"";"70% Cotton 22% Polyester 8% Elasthane 2/1S Twill Fabric, 220 gr/m'2";"220 g/m², 70% Cotton 22% Polyester 8% Elasthane, 2/1S Twill Fabric";"Ripstop, elasthane and denim fabrics for outdoor wear.";"true";"/ariteks/fabrics/argiyim-l/data/fabric-complete-record.json"
"arwowear-t5-soft-el";"ArWoWear T5 Soft El";"ArWoWear";"arwowear-t0-soft";"ripstop-outdoor";"";"military";"military: Application field states 'Coveralls', a generic workwear term, without any explicit military, police or uniformed-service reference.";"This is a generic light-weight stretch workwear twill fabric (65% Polyester/30% Cotton/5% Elasthane) intended for coveralls, with OEKO-TEX 100 certification. No explicit sector-specific application (military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building, transport) is stated in the product data.";"65% Polyester 30% Cotton 5% Elasthane Twill Fabric, 245 gr/m'2";"245 g/m², 65% Polyester 30% Cotton 5% El, 3/1S Twill Fabric";"Ripstop, elasthane and denim fabrics for outdoor wear.";"true";"/ariteks/fabrics/arwowear-t5-soft-el/data/fabric-complete-record.json"
"ariripstop";"AriRipstop";"AriRipstop";"argiyim-2";"ripstop-outdoor";"";"military";"military: Ripstop fabric is commonly associated with military/outdoor garments, but no explicit military or uniformed-service use is stated in the product data.";"Product is explicitly described as an outdoor wear fabric used mostly for pants and can also be used for workwear jackets. No explicit application to any taxonomy sector (military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building, transport) is stated in the supplied data.";"100% AriPam ripstop fabric";"220 g/m², 100% AriPam, Ripstop Woven Fabric";"Ripstop, elasthane and denim fabrics for outdoor wear.";"true";"/ariteks/fabrics/ariripstop/data/fabric-complete-record.json"
"ardura-500";"ArDura 500";"ArDura";"ardura";"pa66-abrasion";"military";"motorcycle";"motorcycle: Category source group mentions motorcyclists clothing for PA 6.6 abrasion-resistant fabrics generally, but this specific product's descriptions focus exclusively on military use without explicit motorcycle application.";"";"Pa6.6 woven fabric for Military wear and bag";"240 g/m², 100% Pa 6.6, Water Repellent, Waterproof, Woven Fabric";"Woven PA.6.6 fabrics for military applications, motorcyclists clothing. Also special solutions where need high rubbing resistance.";"true";"/ariteks/fabrics/ardura-500/data/fabric-complete-record.json"
"ardura-1000";"ArDura 1000";"ArDura";"ardura-2";"pa66-abrasion";"military";"motorcycle";"motorcycle: Category source group mentions motorcyclists' clothing as a general family use, but this specific product's descriptions focus solely on military applications with no explicit motorcycle reference.";"";"Pa6.6 woven fabric for military bag";"350 g/m², 100% Pa 6.6, Water Repellent, Waterproof, Woven Fabric";"Woven PA.6.6 fabrics for military applications, motorcyclists clothing. Also special solutions where need high rubbing resistance.";"true";"/ariteks/fabrics/ardura-1000/data/fabric-complete-record.json"
"ardura-500-c";"ArDura 500 C";"ArDura";"ardura-2";"uniform-pa66";"military | motorcycle";"medical";"medical: Antibacterial property is present but no medical/healthcare use is stated.";"";"Pa6.6 woven fabric for Police and Gendarme wear";"215 g/m², 100% Pa 6.6, Water Repellent, Antibacterial, Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-500-c/data/fabric-complete-record.json"
"ardura-500-c-neo";"ArDura 500 C Neo";"ArDura";"ardura-2";"uniform-pa66";"hivis | military | motorcycle";"medical";"medical: Antibacterial property mentioned but no explicit medical/healthcare use stated.";"";"Pa6.6 woven high visible fabric for Police and Gendarme wear";"215 g/m², 100% Pa 6.6, Water Repellent, Antibacterial, High Visible Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-500-c-neo/data/fabric-complete-record.json"
"ardura-500-c-rb";"ArDura 500 C Rb";"ArDura";"ardura-2";"uniform-pa66";"military | motorcycle";"medical";"medical: Antibacterial property present, but no explicit medical/healthcare use is stated.";"";"Pa6.6 woven ripstop fabric for Police and Gendarme wear";"215 g/m², 100% Pa 6.6, Water Repellent, Antibacterial, Ripstop Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-500-c-rb/data/fabric-complete-record.json"
"ardura-500-fr";"ArDura 500 Fr";"ArDura";"ardura-2";"uniform-pa66";"military | motorcycle";"energy | firefighting | hivis | medical | welding";"energy: No mention of electrical arc protection, high-voltage work or EMI shielding; only generic FR/antistatic-like properties are absent or unstated. || firefighting: Title explicitly names firefighters as an intended wearer group and application images depict turnout gear, a term specific to firefighting protective clothing. || hivis: Product properties explicitly list hi-vis and the fabric is certified to EN ISO 20471, the core high-visibility safety standard, directly supporting the hivis application. || medical: Antibacterial property is present but no explicit medical, healthcare or hospital use is stated. || welding: No explicit welding, foundry or metal-splash protection use mentioned.";"";"Pa6.6 woven flame retardant coated fabric for Police, Firefighters and Gendarme wear";"240 g/m², 95% Pa 6.6 5%Pu, Water Repellent, Antibacterial, Waterproof, Flame Retardant Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-500-fr/data/fabric-complete-record.json"
"ardura-1000-c";"ArDura 1000 C";"ArDura";"ardura-2";"uniform-pa66";"military";"hivis | medical | motorcycle";"hivis: Listed as a property and cites EN ISO 20471, but no explicit statement of high-visibility safety garment use in descriptions; appears to be a generic property tag inconsistent with military fabric context. || medical: Antibacterial property present but no explicit medical or healthcare use stated. || motorcycle: Category source group mentions motorcyclists as a general context for PA6.6 fabrics, but this specific product's descriptions focus on military/police use without explicit motorcycle apparel mention.";"";"Pa6.6 woven fabric for military equipment";"300 g/m², 100% Pa 6.6, Water Repellent, Antibacterial, Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-1000-c/data/fabric-complete-record.json"
"ardura-1000-c-rb";"ArDura 1000 C Rb";"ArDura";"ardura-2";"uniform-pa66";"military";"hivis | medical | motorcycle";"hivis: The fabric is explicitly certified to EN ISO 20471, the high-visibility safety standard, and tagged as hi-vis, though no dedicated hi-vis garment application text is provided. || medical: Antibacterial property is present but no explicit medical or healthcare use is stated in the product data. || motorcycle: The category source group explicitly lists motorcyclists as an intended user group for this PA6.6 fabric line.";"";"Pa6.6 woven ripstop fabric for military equipment";"300 g/m², 100% Pa 6.6, Water Repellent, Antibacterial, Ripstop Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-1000-c-rb/data/fabric-complete-record.json"
"ardura-1000-kirik-dimi";"ArDura 1000 Kirik Dimi";"ArDura";"ardura-2";"uniform-pa66";"military";"hivis | medical | motorcycle";"hivis: The product explicitly lists 'hi-vis' as a property and cites EN ISO 20471, the standard for high-visibility warning clothing, directly supporting a hi-vis application even though narrative text focuses on military use. || medical: Antibacterial property and function icon are present, but no medical/healthcare use is explicitly stated anywhere in the product data. || motorcycle: CategorySourceGroup mentions 'motorcyclists' as part of the broader PA6.6 uniform category, but the product-specific descriptions and title only reference military and police use, not motorcycle apparel explicitly.";"";"Pa6.6 woven cross twill fabric for military equipment";"300 g/m², 100% Pa 6.6, Water Repellent, Antibacterial, Cross Twill Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-1000-kirik-dimi/data/fabric-complete-record.json"
"ardura-1000-fr";"ArDura 1000 Fr";"ArDura";"ardura-2";"uniform-pa66";"military | motorcycle";"firefighting";"firefighting: Application image label shows a firefighter suit example, but the product's own descriptions and specLine focus on police/military use, not explicit firefighting garment intent; FR property alone is insufficient per rules.";"";"Pa6.6 woven flame retardant coated fabric for Police and Gendarme wear";"350 g/m², 95% Pa 6.6 5%Pu, Water Repellent, Antibacterial, Waterproof, Flame Retardant Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/ardura-1000-fr/data/fabric-complete-record.json"
"argiyim-dura";"ArGiyim Dura";"ArGiyim";"argiyim-yp";"uniform-pa66";"military | motorcycle";"hivis | medical";"hivis: Explicit high-visibility property with EN ISO 20471 certification directly supports hi-vis application. || medical: Antibacterial property is present but no explicit medical/healthcare use is stated.";"";"50% Pa6.6 50% Cotton woven fabric for Police and Gendarme wear";"245 g/m², 50% Pa 6.6 50% Cotton, Water Repellent, Antibacterial Woven Fabric";"Woven PA.6.6 fabrics for police uniforms, motorcyclists, bomb disposal suits and technical military applications.";"true";"/ariteks/fabrics/argiyim-dura/data/fabric-complete-record.json"
"argiyim-knit-knife-pro";"ArGiyim Knit Knife Pro";"ArGiyim";"argiyim-knit";"cut-resistant";"motorcycle";"military";"military: Aramid cut-resistant fabric could theoretically be used in tactical gear, but no military or uniformed-service use is stated.";"";"100% p-Aramid, Cut Proof Knit Fabric";"250 g/m², 100% p-Aramid Cut Proof, Jersey Knit Fabric";"Cut-proof knit fabric from p-aramid. Bomb and nail proof woven fabrics from Pa6.6";"true";"/ariteks/fabrics/argiyim-knit-knife-pro/data/fabric-complete-record.json"
"argiyim-denim-kursun";"ArGiyim Denim Kursun";"ArGiyim";"argiyim-knit";"cut-resistant";"motorcycle";"military";"military: Cut-resistant HPPE fabric with EN 388 could theoretically serve tactical wear, but no military/police/tactical use is stated.";"";"50% HPPE 50% Polyester Abraison Resistant Fabric";"290 g/m², 50% HPPE 50% Polyester, Abraison Resistant, Denim Woven Fabric";"Cut-proof knit fabric from p-aramid. Bomb and nail proof woven fabrics from Pa6.6";"true";"/ariteks/fabrics/argiyim-denim-kursun/data/fabric-complete-record.json"
"argiyim-denim-kursun-ck";"ArGiyim Denim Kursun CK";"ArGiyim";"argiyim-knit";"cut-resistant";"";"military | motorcycle | transport";"military: Cut-resistant and abrasion-resistant fabric could theoretically be used in tactical or uniformed gear, but no explicit military or police use is stated. || motorcycle: The product explicitly states EN 17092 motorcyclist certification, directly linking it to motorcycle protective apparel use. || transport: No vehicle or vessel specific use is mentioned; only motorcyclist personal protective norm is cited, which stays under motorcycle.";"";"50% HPPE 50% Polyester Abraison Resitant Fabric";"620 g/m², 50% HPPE 50% Polyester, Abraison Resistant, Double Denim Woven Fabric";"Cut-proof knit fabric from p-aramid. Bomb and nail proof woven fabrics from Pa6.6";"true";"/ariteks/fabrics/argiyim-denim-kursun-ck/data/fabric-complete-record.json"
"argun-260";"ArGun 260";"ArGun";"argun";"outdoor-acrylic";"";"architecture-building | hivis | medical | transport";"architecture-building: Awnings and sun blinds are mentioned but not explicitly framed as architectural or building-system products, so this does not meet the explicit-use threshold. || hivis: Properties list 'hi-vis' and norms include EN ISO 20471, but there is no explicit statement of a high-visibility safety garment use; the fabric is otherwise described for awnings, marine, automotive and furnishing applications, so the hi-vis tag appears incidental rather than an intended safety-apparel application. || medical: Antibacterial property is mentioned, but no healthcare or medical use is stated. || transport: Product data explicitly states marine and automotive application use, directly supporting the transport (vehicle/vessel) application.";"";"100% Acrylic Solution Dyed Fabric, 260 gr/m'2";"260 g/m², 100% Acrylic, All wheather resistant solution dyed outdoor fabric";"Durable all weather resistant solution dyed acrylic fabrics for marine applications, automotive, sun blinds, sun umbrella, outdoor furnishing.";"true";"/ariteks/fabrics/argun-260/data/fabric-complete-record.json"
"arinter";"ArInter";"ArInter";"arinter";"";"architecture-building";"hivis | medical | transport";"hivis: Hi-vis property and EN ISO 20471 norm listed, but no explicit statement of use as high-visibility safety apparel—this is an interior decoration fabric, not a garment. || medical: Antibacterial property present, but no explicit medical/healthcare use stated; product is positioned for interior decoration. || transport: Application image label mentions 'Turkmenistan Airport' but this reflects an architectural installation in a building, not vehicle/vessel use.";"";"Tension Fabric Stuctures for Inside Decoration";"250 g/m², 92% Polyester 8% Elastane, Flexible, Dirt Repellent, Antibacterial, Tension Fabric";"";"true";"/ariteks/fabrics/arinter/data/fabric-complete-record.json"
"ardoku";"ArDoku";"ArDoku";"ardoku-ardolu";"laminates-3l";"hivis";"energy | firefighting";"energy: No explicit statement of electric-arc protection, high-voltage work or EMI shielding; only generic winter jacket use is stated. || firefighting: EN 343 relates to protection against rain/weather for professional use, not firefighting; no explicit firefighting or turnout gear mention.";"";"84% Polyester 10% Pu 6% Elastane softshell fabric";"300 g/m², 84% Polyester 10% Pu 6% Elastane, 3 layer laminated, Softshell Fabric";"3 Layer (woven fabric + TPU Membrane + knit Fabric) laminated fabrics.";"true";"/ariteks/fabrics/ardoku/data/fabric-complete-record.json"
"ardolu";"ArDolu";"ArDolu";"ardoku-ardolu";"laminates-3l";"hivis";"transport";"transport: Rainwear could be worn in transport/roadwork contexts but no explicit vehicle, transit-worker, or transport-sector use is stated in the product data.";"";"95% Polyester 5% Pu bonded fabric";"210 g/m², 95% Polyester 5% Elastane, 3 layer laminated, Bonded Fabric";"3 Layer (woven fabric + TPU Membrane + knit Fabric) laminated fabrics.";"true";"/ariteks/fabrics/ardolu/data/fabric-complete-record.json"
"aribez";"Ari Bez";"Ari";"aripam";"aripam-spun";"";"medical";"medical: Description mentions it 'can also be used on outdoor medical cloth', but this is a secondary, vague mention without specific medical garment context, standards, or barrier properties described, making it insufficiently direct for a confident match.";"This is a shoe-lining fabric (100% AriPam, UV resistant, plain weave) intended primarily as lining inside shoes, with a secondary vague mention of outdoor medical cloth use. No explicit ties to military, firefighting, energy, welding, motorcycle, hi-vis, sport, architecture-building, or transport applications are stated in the product data.";"100% AriPam uv resistant plain fabric";"180 g/m², 100% AriPam, Uv protective, 1/1 Plain Woven Fabric";"AriPam spun fabrics for shoe lining";"true";"/ariteks/fabrics/aribez/data/fabric-complete-record.json"
"arigabardin-245";"Ari Gabardin 245";"Ari";"aripam";"aripam-spun";"";"hivis";"hivis: Has 'hi-vis' property and EN ISO 20471 norm listed, but description does not explicitly frame this fabric as a certified hi-vis warning garment; primary stated use is shoe lining and outdoor/safety jackets without explicit fluorescent hi-vis application description.";"Product is explicitly described as a shoe lining fabric, also usable for outdoor jackets, safety jackets, pants and trousers. No explicit sector such as military, firefighting, energy, welding, motorcycle, medical, sport, architecture-building or transport is stated. Listed norms (EN 343, EN ISO 20471, EN 13758) and properties (hi-vis, UV protection) indicate general safety/outdoor performance but do not tie the product to a specific taxonomy application with direct evidence.";"100% AriPam uv resistant twill fabric";"245 g/m², 100% AriPam, Uv protective, 3/1 S Twill Woven Fabric";"AriPam spun fabrics for shoe lining";"true";"/ariteks/fabrics/arigabardin-245/data/fabric-complete-record.json"
"aripenye";"Ari Penye";"Ari";"aripam";"aripam-spun";"";"sport";"sport: Description mentions use on promotional t-shirts, but no explicit athletic/sportswear use is stated.";"Product is explicitly described as a UV-resistant jersey knit fabric used as shoe lining and for promotional t-shirts; no explicit connection to any listed industry application (military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building, transport) is stated.";"100% AriPam uv resistant jersey fabric";"140 g/m², 100% AriPam, Uv protective, Jersey Knit Fabric";"AriPam spun fabrics for shoe lining";"true";"/ariteks/fabrics/aripenye/data/fabric-complete-record.json"
"aripike";"Ari Pike";"Ari";"aripam";"aripam-spun";"";"sport";"sport: Product mentions use on promotional t-shirts and UV protection, but no explicit athletic/sport use is stated.";"Product is explicitly described as a shoe lining fabric (pique knit for lining inside shoes) and as usable on promotional t-shirts, with UV protection and OEKO-TEX certification. No explicit military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building, or transport application is stated.";"100% AriPam uv resistant pique fabric";"210 g/m², 100% AriPam, Uv protective, Pique Knit Fabric";"AriPam spun fabrics for shoe lining";"true";"/ariteks/fabrics/aripike/data/fabric-complete-record.json"
"arpo";"ArPo";"ArPo";"arpo";"fleece";"";"sport";"sport: Fleece is a common apparel fabric but no explicit sportswear or athletic use is stated; only 'winter jacket' is mentioned.";"Product is described as a polyester polar fleece used for winter jackets and insulation/lining, with no explicit statement of military, firefighting, energy, welding, motorcycle, hi-vis, medical, sport, architecture/building, or transport application.";"100% polyester polar fabric";"290 g/m², 100% Polyester polar knit fabric";"Polar Fabrics";"true";"/ariteks/fabrics/arpo/data/fabric-complete-record.json"
"ar-air-mesh-aa-150";"ArAir Mesh AA 150";"ArAir";"arairmesh";"air-mesh-3d";"";"medical | military | sport | transport";"medical: Explicit mention of medical use as a shock absorber supports direct application in the medical sector. || military: Explicit statement that the fabric is suitable for military shoes directly ties it to military use. || sport: Explicitly stated suitability for sport shoes directly supports sport application. || transport: Upholstery use for office furniture is mentioned but no vehicle or vessel context is stated.";"";"3D Air Mesh Fabric";"150 g/m², 100% Polyester, Air Mesh Fabric";"3D Air Mesh Fabrics";"true";"/ariteks/fabrics/ar-air-mesh-aa-150/data/fabric-complete-record.json"
